"filename", "language", "C#", "comment", "blank", "total"
"/workspaces/project1/Pokemongame/src/MyGame/Pokemons/PokemonFactory.cs", "C#", 13, 12, 3, 28
"/workspaces/project1/Pokemongame/src/MyGame/Pokemons/PokemonLog.cs", "C#", 16, 1, 1, 18
"/workspaces/project1/Pokemongame/src/MyGame/Pokemons/Runtime/IBattlePokemon.cs", "C#", 33, 0, 7, 40
"/workspaces/project1/Pokemongame/src/MyGame/Pokemons/Runtime/PokemonRuntime.cs", "C#", 109, 1, 32, 142
"/workspaces/project1/Pokemongame/src/MyGame/Pokemons/Runtime/PokemonStates/EnumEffectState.cs", "C#", 13, 0, 0, 13
"/workspaces/project1/Pokemongame/src/MyGame/Pokemons/Runtime/PokemonStates/PokemonState.cs", "C#", 17, 0, 4, 21
"/workspaces/project1/Pokemongame/src/MyGame/Pokemons/Runtime/PokemonStates/States/BurnState.cs", "C#", 20, 0, 5, 25
"/workspaces/project1/Pokemongame/src/MyGame/Pokemons/Runtime/PokemonStates/States/FreezeState.cs", "C#", 29, 0, 8, 37
"/workspaces/project1/Pokemongame/src/MyGame/Pokemons/Runtime/PokemonStates/States/ParalysisState.cs", "C#", 19, 0, 5, 24
"/workspaces/project1/Pokemongame/src/MyGame/Pokemons/Runtime/PokemonStates/States/PoisonState.cs", "C#", 19, 0, 5, 24
"/workspaces/project1/Pokemongame/src/MyGame/Pokemons/Runtime/PokemonStates/States/SleepState.cs", "C#", 30, 0, 8, 38
"/workspaces/project1/Pokemongame/src/MyGame/Pokemons/Runtime/PokemonStates/States/ToxicState.cs", "C#", 24, 0, 7, 31
"Total", "-", 237, 1, 39, 277
